DR Number,date_rptd,date_occ,Time Occurred,area,area_name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
210304508,2021-01-13,2021-01-13,1520,3,Southwest,378,997,TRAFFIC COLLISION,4025 3036 3004 3025 3101,18.0,M,B,101.0,STREET,VERMONT                      AV,MARTIN LUTHER KING JR        BL,"(34.0109, -118.2915)"
210304404,2021-01-06,2021-01-06,1815,3,Southwest,361,997,TRAFFIC COLLISION,3036 3004 3026 3101,20.0,M,B,101.0,STREET,MARTIN LUTHER KING JR        BL,NICOLET                      AV,"(34.0197, -118.3495)"
210304445,2021-01-11,2021-01-11,610,3,Southwest,321,997,TRAFFIC COLLISION,3037 3004 3025 3101,42.0,M,H,101.0,STREET,LA BREA                      AV,N  OBAMA                        BL,"(34.0215, -118.3556)"
210304476,2021-01-09,2021-01-09,1745,3,Southwest,354,997,TRAFFIC COLLISION,3037 3011 3028 3101 3034,20.0,X,X,101.0,STREET,3600    7TH                          AV,,"(34.0211, -118.3248)"
210304485,2021-01-12,2021-01-12,820,3,Southwest,363,997,TRAFFIC COLLISION,4025 3101 3037 4003 3003 3026 3032,54.0,F,H,103.0,ALLEY,4100    SOMERSET                     DR,,"(34.0112, -118.3415)"
210304552,2021-01-15,2021-01-14,2220,3,Southwest,393,997,TRAFFIC COLLISION,4025 3037 3004 3101 3034 3602 3024,29.0,M,B,101.0,STREET,LEIMERT                      BL,43RD                         ST,"(34.0054, -118.3297)"
210304574,2021-01-15,2021-01-15,725,3,Southwest,311,997,TRAFFIC COLLISION,4025 3037 3004 3028 3034 3030 3101,51.0,M,H,101.0,STREET,GEER                         ST,HAUSER                       BL,"(34.0301, -118.3636)"
210504327,2021-01-09,2021-01-09,750,5,Harbor,519,997,TRAFFIC COLLISION,4025 3036 3004 3026 3101,79.0,M,W,101.0,STREET,PACIFIC COAST,BLINN,"(33.7911, -118.2454)"
210504392,2021-01-11,2021-01-11,430,5,Harbor,551,997,TRAFFIC COLLISION,3037 3011 3028 3101,21.0,F,H,101.0,STREET,GAFFEY,MIRAFLORES                   AV,"(33.7443, -118.3088)"
210504428,2021-01-10,2021-01-10,1545,5,Harbor,523,997,TRAFFIC COLLISION,0605 3037 3003 3025 3101,42.0,M,H,101.0,STREET,JOHN S GIBSON,CHANNEL,"(33.7538, -118.2905)"
210504429,2021-01-11,2021-01-11,1425,5,Harbor,526,997,TRAFFIC COLLISION,0605 3036 3004 3026 3101,27.0,M,H,101.0,STREET,ANAHEIM,AVALON,"(33.78, -118.2624)"
210504439,2021-01-12,2021-01-11,1635,5,Harbor,507,997,TRAFFIC COLLISION,3037 3011 3028 3101,58.0,M,H,101.0,STREET,1300    HARMONY                      WY,,"(33.821, -118.2995)"
210504453,2021-01-12,2021-01-12,1430,5,Harbor,513,997,TRAFFIC COLLISION,3037 3006 3028 3101,42.0,M,H,101.0,STREET,25200    FRAMPTON                     AV,,"(33.7953, -118.2999)"
210504469,2021-01-11,2021-01-11,1900,5,Harbor,529,997,TRAFFIC COLLISION,0605 3036 3004 3025 3101,35.0,M,B,101.0,STREET,FLINT,ANAHEIM,"(33.7807, -118.2494)"
210504541,2021-01-14,2021-01-14,1710,5,Harbor,506,997,TRAFFIC COLLISION,1402 3037 3006 3028 3030 3101,,F,H,101.0,STREET,215TH,HARVARD,"(33.8335, -118.3065)"
210504545,2021-01-14,2021-01-14,2240,5,Harbor,506,997,TRAFFIC COLLISION,3037 3006 3028 3030 3101,,X,X,101.0,STREET,1500 W  CARSON                       ST,,"(33.8315, -118.3044)"
210504546,2021-01-14,2021-01-14,2330,5,Harbor,584,997,TRAFFIC COLLISION,3037 3028 3030 3101 3006,33.0,M,B,101.0,STREET,28TH,BAYWATER,"(33.719, -118.2947)"
210404545,2021-01-16,2021-01-15,2200,4,Hollenbeck,466,997,TRAFFIC COLLISION,0605 3101 3401 3701 4024 3003 3024 3029,50.0,M,H,101.0,STREET,CESAR E CHAVEZ,FOREST,"(34.0445, -118.2025)"
210604359,2021-01-08,2021-01-08,820,6,Hollywood,631,997,TRAFFIC COLLISION,3011 3024 3035 3037 3104 3401 3701 4006,20.0,X,X,101.0,STREET,FLICKER                      WY,SIERRA MAR                   PL,"(34.0978, -118.3923)"
210604361,2021-01-09,2021-01-09,1630,6,Hollywood,667,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4006,31.0,M,H,101.0,STREET,VAN NESS                     AV,LEXINGTON                    AV,"(34.0928, -118.3158)"
210604421,2021-01-12,2021-01-12,955,6,Hollywood,644,997,TRAFFIC COLLISION,3008 3026 3035 3037 3102 3401 3701 4006,40.0,M,B,101.0,STREET,SIERRA BONITA                AV,SUNSET                       BL,"(34.098, -118.3539)"
210504543,2021-01-14,2021-01-14,2100,5,Harbor,511,997,TRAFFIC COLLISION,3037 3004 3026 3029 3101 4025,22.0,F,H,101.0,STREET,PACIFIC COAST                HY,WESTERN,"(33.7895, -118.3077)"
210304537,2021-01-14,2021-01-14,830,3,Southwest,375,997,TRAFFIC COLLISION,3037 3006 3028 3030 3101,20.0,X,X,101.0,STREET,MIDDLETON                    PL,W  WESTERN                      AV,"(34.0155, -118.3089)"
210304585,2021-01-12,2021-01-12,1500,3,Southwest,331,997,TRAFFIC COLLISION,3004 3029 3036 3026 3101,57.0,M,B,101.0,STREET,OBAMA                        BL,7TH                          AV,"(34.0283, -118.3492)"
210304586,2021-01-14,2021-01-14,1620,3,Southwest,321,997,TRAFFIC COLLISION,3004 3026 3101 3037,20.0,X,X,101.0,STREET,OBAMA                        BL,E  LA BREA                      AV,"(34.0215, -118.3556)"
210504419,2021-01-12,2021-01-09,1045,5,Harbor,515,997,TRAFFIC COLLISION,4025 3036 3004 3028 3030 3101,24.0,F,H,101.0,STREET,PACIFIC COAST                HY,RAVENNA                      AV,"(33.7909, -118.2688)"
210604494,2021-01-14,2021-01-13,2100,6,Hollywood,666,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4027,33.0,M,B,101.0,STREET,N  EL CENTRO,LA MIRADA                    AV,"(34.0935, -118.3245)"
210704439,2021-01-14,2021-01-02,1320,7,Wilshire,719,997,TRAFFIC COLLISION,3006 3028 3030 3104 4027,32.0,M,H,108.0,PARKING LOT,600 N  ROSSMORE                     AV,,"(34.0817, -118.3272)"
210904118,2021-01-04,2021-01-04,930,9,Van Nuys,904,997,TRAFFIC COLLISION,3004 3036 3026 3101 4010 3602,19.0,M,H,101.0,STREET,VAN NUYS                     BL,COVELLO                      ST,"(34.2084, -118.4599)"
210904261,2021-01-08,2021-01-08,1500,9,Van Nuys,923,997,TRAFFIC COLLISION,3003 3036 3025 3101 4009,18.0,M,H,101.0,STREET,VANOWEN                      ST,VAN NUYS                     BL,"(34.1939, -118.4487)"
210904262,2021-01-08,2021-01-08,1330,9,Van Nuys,937,997,TRAFFIC COLLISION,3004 3036 3026 3101 4009,36.0,F,H,101.0,STREET,6200    HAZELTINE                    AV,,"(34.1827, -118.44)"
210904316,2021-01-10,2021-01-10,1550,9,Van Nuys,911,997,TRAFFIC COLLISION,3004 3036 3029 3026 3101 4026,25.0,M,H,101.0,STREET,VICTORY                      BL,HASKELL                      AV,"(34.1938, -118.4702)"
210904412,2021-01-13,2021-01-13,1510,9,Van Nuys,901,997,TRAFFIC COLLISION,3004 3036 3034 3028 3101 4026,20.0,M,H,101.0,STREET,SEPULVEDA                    BL,VALERIO                      ST,"(34.2048, -118.4662)"
210904484,2021-01-15,2021-01-14,1120,9,Van Nuys,923,997,TRAFFIC COLLISION,3004 3036 3026 3101 4026,18.0,M,H,101.0,STREET,KESTER                       AV,VANOWEN                      ST,"(34.1939, -118.4574)"
210604498,2021-01-14,2021-01-14,415,6,Hollywood,643,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4006,20.0,,,101.0,STREET,HAWTHORN                     AV,POINSETTIA                   PL,"(34.0998, -118.3479)"
210604520,2021-01-15,2021-01-14,2240,6,Hollywood,647,997,TRAFFIC COLLISION,,40.0,M,H,108.0,PARKING LOT,N  GOWER                        ST,SUNSET                       BL,"(34.098, -118.3223)"
210704359,2021-01-12,2021-01-11,1800,7,Wilshire,732,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4007,46.0,M,W,101.0,STREET,LA CIENEGA                   BL,3RD                          ST,"(34.0665, -118.3662)"
210704376,2021-01-11,2021-01-11,1340,7,Wilshire,789,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4007,31.0,M,H,101.0,STREET,5TH                          AV,23RD                         ST,"(34.038, -118.3225)"
210704428,2021-01-14,2021-01-13,1950,7,Wilshire,765,997,TRAFFIC COLLISION,3003 3024 3035 3037 3101 3401 3701 4007,51.0,F,W,101.0,STREET,PICO,CRENSHAW                     BL,"(34.0496, -118.3425)"
210904263,2021-01-08,2021-01-08,1450,9,Van Nuys,911,997,TRAFFIC COLLISION,3036 3008 3026 3101 4009,22.0,M,H,101.0,STREET,VICTORY,SEPULVEDA,"(34.1867, -118.4662)"
210704479,2021-01-15,2021-01-06,1844,7,Wilshire,779,997,TRAFFIC COLLISION,3004 3026 3029 3035 3037 3101 3401 3701 4007,29.0,M,W,101.0,STREET,ARLINGTON                    AV,WASHINGTON                   BL,"(34.0399, -118.3177)"
210904305,2021-01-10,2021-01-10,2000,9,Van Nuys,915,997,TRAFFIC COLLISION,3036 3101 4009 3009 3024,32.0,M,A,101.0,STREET,SATICOY                      ST,TOBIAS                       AV,"(34.1976, -118.4443)"
210804428,2021-01-09,2021-01-09,1730,8,West LA,817,997,TRAFFIC COLLISION,3004 3028 3030 3035 3036 3101 3701 3401 4008,24.0,M,B,101.0,STREET,WILSHIRE                     BL,GLENDON                      AV,"(34.0592, -118.4425)"
210904393,2021-01-13,2021-01-13,155,9,Van Nuys,926,997,TRAFFIC COLLISION,3011 3037 3028 3034 3032 3101 4026 3039,99.0,M,W,101.0,STREET,VICTORY                      BL,TYRONE                       AV,"(34.1867, -118.4443)"
211004088,2021-01-03,2021-01-03,1026,10,West Valley,1029,997,TRAFFIC COLLISION,4010 3004 3026 3101 3037,79.0,M,W,101.0,STREET,VANOWEN                      ST,DENSMORE                     AV,"(34.1939, -118.4772)"
211004159,2021-01-04,2021-01-04,1220,10,West Valley,1043,997,TRAFFIC COLLISION,4010 3004 3036 3028 3030 3101,21.0,F,B,101.0,STREET,RESEDA                       BL,OXNARD                       ST,"(34.18, -118.536)"
211004288,2021-01-09,2021-01-09,1845,10,West Valley,1011,997,TRAFFIC COLLISION,3004 3036 3026 3101 4010 3602,56.0,M,H,101.0,STREET,TAMPA                        AV,COHASSET                     ST,"(34.2066, -118.5535)"
211004315,2021-01-09,2021-01-09,930,10,West Valley,1009,997,TRAFFIC COLLISION,3004 3036 3028 3030 3101 4019,35.0,M,H,101.0,STREET,ROSCOE,WOODLEY,"(34.2213, -118.4852)"
211004355,2021-01-12,2021-01-12,1425,10,West Valley,1001,997,TRAFFIC COLLISION,3004 3037 3028 3030 3101 4026,54.0,F,O,101.0,STREET,SATICOY                      ST,CLAIRE                       AV,"(34.2084, -118.5503)"
211004358,2021-01-12,2021-01-12,1025,10,West Valley,1025,997,TRAFFIC COLLISION,3004 3036 3026 3101 4010,21.0,M,H,101.0,STREET,SHERMAN                      WY,WHITE OAK                    AV,"(34.2011, -118.5186)"
211004360,2021-01-12,2021-01-12,1830,10,West Valley,1079,997,TRAFFIC COLLISION,3004 3037 3028 3030 3101 4026,56.0,F,H,101.0,STREET,HASKELL                      AV,VENTURA                      BL,"(34.1554, -118.4749)"
211004365,2021-01-12,2021-01-12,1805,10,West Valley,1015,997,TRAFFIC COLLISION,3004 3026 3101 4010 3037,50.0,M,H,101.0,STREET,SHERMAN                      WY,ETIWANDA                     AV,"(34.2012, -118.5317)"
211004375,2021-01-13,2021-01-13,1100,10,West Valley,1049,997,TRAFFIC COLLISION,3004 3026 3036 3101 4026,56.0,F,H,101.0,STREET,BURBANK                      BL,SAN DIEGO                    FY,"(34.1757, -118.4846)"
211004378,2021-01-13,2021-01-13,1250,10,West Valley,1015,997,TRAFFIC COLLISION,3004 3036 3034 3026 3101 4026,73.0,M,H,101.0,STREET,SHERMAN                      WY,ETIWANDA                     AV,"(34.2012, -118.5317)"
211004380,2021-01-13,2021-01-13,1332,10,West Valley,1001,997,TRAFFIC COLLISION,3011 3037 3034 3026 3101 4026,99.0,M,O,101.0,STREET,HAYNES                       ST,BELMAR                       AV,"(34.2143, -118.5534)"
211004432,2021-01-14,2021-01-14,645,10,West Valley,1023,997,TRAFFIC COLLISION,3004 3037 3026 3101 4026,39.0,M,H,101.0,STREET,TAMPA                        AV,SHERMAN                      WY,"(34.2011, -118.5535)"
211004438,2021-01-15,2021-01-14,2230,10,West Valley,1097,997,TRAFFIC COLLISION,3011 3037 3034 3026 3101 4026,30.0,M,W,101.0,STREET,SEPULVEDA                    BL,ROYAL HILLS                  DR,"(34.1413, -118.506)"
211004467,2021-01-15,2021-01-15,850,10,West Valley,1011,997,TRAFFIC COLLISION,3004 3025 3101 4026 3037,27.0,F,H,101.0,STREET,CORBIN                       AV,LEADWELL                     ST,"(34.2035, -118.5623)"
211104427,2021-01-14,2021-01-14,430,11,Northeast,1184,997,TRAFFIC COLLISION,3102 3401 3701 4011 3011 3030 0605,20.0,X,X,101.0,STREET,1500    PARMER                       AV,,"(34.0794, -118.2543)"
211104498,2021-01-16,2021-01-15,1800,11,Northeast,1113,997,TRAFFIC COLLISION,0605 3101 3401 3701 4011 3008 3026 3036,28.0,F,O,101.0,STREET,COLORADO                     BL,LOCKHAVEN                    AV,"(34.1425, -118.224)"
211004379,2021-01-13,2021-01-13,1245,10,West Valley,1028,997,TRAFFIC COLLISION,3028 3005 3037 3030 3101 4026,29.0,M,W,101.0,STREET,SHERMAN                      WY,DE CELIS                     PL,"(34.2011, -118.4946)"
211004336,2021-01-11,2021-01-11,2030,10,West Valley,1025,997,TRAFFIC COLLISION,3004 3037 3029 3026 3101 4026,23.0,F,A,101.0,STREET,LINDLEY                      AV,VANOWEN                      ST,"(34.1939, -118.5273)"
211004263,2021-01-09,2021-01-09,1520,10,West Valley,1018,997,TRAFFIC COLLISION,3011 3037 3028 3030 3101 4026,61.0,M,H,101.0,STREET,VALJEAN                      AV,RUNNYMEDE                    ST,"(34.2057, -118.4859)"
211204652,2021-01-10,2021-01-10,2138,12,77th Street,1249,997,TRAFFIC COLLISION,3036 3004 3028 3030 3101,21.0,M,B,101.0,STREET,GAGE                         AV,FIGUEROA                     ST,"(33.9824, -118.2827)"
211204418,2021-01-01,2021-01-01,505,12,77th Street,1242,997,TRAFFIC COLLISION,4025 3037 3006 3028 3101,20.0,X,X,101.0,STREET,BROADWAY,80TH                         ST,"(33.9818, -118.3221)"
211000523,2021-01-11,2021-01-11,130,10,West Valley,1008,997,TRAFFIC COLLISION,3006 3037 3025 3101 4010 3039,,M,A,101.0,STREET,TAMPA                        AV,INGOMAR                      ST,"(34.2077, -118.4912)"
